"Name","AppID"
"Python 3.12 (64-bit)","C:\Users\chave\AppData\Local\Programs\Python\Python312\python.exe"
"Python 3.12 Manuals (64-bit)","C:\Users\chave\AppData\Local\Programs\Python\Python312\Doc\html\index.html"
"Python 3.12 Module Docs (64-bit)","Microsoft.AutoGenerated.{C51E5739-7C4C-8B8C-FD30-A12349306EC0}"
"Python 3.9 (64-bit)","C:\Users\chave\AppData\Local\Programs\Python\Python39\python.exe"
"Python 3.9 Module Docs (64-bit)","Microsoft.AutoGenerated.{6D8D706A-0740-72BD-9331-47E04844C75D}"
"Qt Creator 15.0.1 (Enterprise)","C:\Qt\Tools\QtCreator\bin\qtcreator.exe"
"Qt Design Studio","C:\Qt\Tools\QtDesignStudio\bin\qtdesignstudio.exe"
"Qt Maintenance Tool","Microsoft.AutoGenerated.{08925E98-E6A0-D341-F65A-F851EC55E36D}"
"Quick Access","AcerIncorporated.QuickAccess_48frkmn4z8aw4!QuickAccessCentennialApp"
"Quick Assist","MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App"
"Raspberry Pi Imager","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Raspberry Pi Imager\rpi-imager.exe"
"Razer Chroma","Razer.Chroma.4"
"Razer Synapse","Razer.Synapse.4"
"Readme","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VB\Voicemeeter\readme.txt"
"Readme","{6D809377-6AF0-444B-8957-A3773F02200E}\Virtual Audio Cable\readme.txt"
"RealFTP","36059XiaoyaStudio.RealFTP_ngh7ertwt50re!RFTP"
"Realtek Audio Console","RealtekSemiconductorCorp.RealtekAudioControl_dt26b99r8h8gj!App"
"Recovery Drive","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe"
"Recycle Bin","::{645FF040-5081-101B-9F08-00AA002F954E}"
"Reference Documentation","http://docs.oracle.com/javase/22/index.html"
"Registry Editor","{F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe"
"Release Notes","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Blackhawk\Emulation\Drivers\Drivers-ReadMe.pdf"
"Remnant2","PerfectWorldEntertainment.GFREMP2_jrajkyc4tsa6w!AppRemnant2Shipping"
"Remote Desktop Connection","Microsoft.Windows.RemoteDesktop"
"Reset Spyder Settings (anaconda)","Microsoft.AutoGenerated.{4B0203D9-95C4-D14E-DD18-F0841C878AF4}"
"Resource Monitor","Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}"
"Riot Client","C:\Riot Games\Riot Client\RiotClientServices.exe"
"Roblox Player","C:\Users\chave\AppData\Local\Roblox\Versions\version-2d6639b3364b47cd\RobloxPlayerBeta.exe"
"Roblox Studio","C:\Users\chave\AppData\Local\Roblox\Versions\version-ea7c4a2d814e4dc6\RobloxStudioBeta.exe"
"Rocket League Tracker","overwolf.nonfnefnlcikmjkkdclbhpojenalpkcoipjjognm"
"rpiboot-CM4-CM5 - Mass Storage Gadget","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Raspberry Pi\rpi-mass-storage-gadget64.bat"
"rpiboot-CM-CM2-CM3","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Raspberry Pi\rpiboot.exe"
"Run","Microsoft.Windows.Shell.RunDialog"
