"Name","PackageFullName","Publisher","InstallLocation","LaunchCommand"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.UI.Xaml.2.8_8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.UI.Xaml.2.8_8wekyb3d8bbwe"
"Microsoft.WindowsTerminal","Microsoft.WindowsTerminal_1.21.10351.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.10351.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsTerminal_8wekyb3d8bbwe"
"MicrosoftWindows.Client.WebExperience","MicrosoftWindows.Client.WebExperience_525.1301.30.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.1301.30.0_x64__cw5n1h2txyewy","shell:AppsFolder\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy"
"28017CharlesMilette.TranslucentTB","28017CharlesMilette.TranslucentTB_2024.3.0.0_x64__v826wp6bftszj","CN=04797BBC-C7BB-462F-9B66-331C81E27C0E","C:\Program Files\WindowsApps\28017CharlesMilette.TranslucentTB_2024.3.0.0_x64__v826wp6bftszj","shell:AppsFolder\28017CharlesMilette.TranslucentTB_v826wp6bftszj"
"C27EB4BA.DropboxOEM","C27EB4BA.DropboxOEM_23.4.30.0_x64__xbfy0k16fey96","CN=852D08DC-3DFB-4331-AD77-990D03FE9E36","C:\Program Files\WindowsApps\C27EB4BA.DropboxOEM_23.4.30.0_x64__xbfy0k16fey96","shell:AppsFolder\C27EB4BA.DropboxOEM_xbfy0k16fey96"
"Microsoft.Windows.ShellExperienceHost","Microsoft.Windows.ShellExperienceHost_10.0.26100.3037_neutral_neutral_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy","shell:AppsFolder\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy"
"Microsoft.WindowsAppRuntime.CBS.1.6","Microsoft.WindowsAppRuntime.CBS.1.6_6000.330.1801.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.vNext.CBS_8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsAppRuntime.CBS.1.6_8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS","Microsoft.WindowsAppRuntime.CBS_5001.311.2039.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe"
"MicrosoftWindows.Client.CBS","MicrosoftWindows.Client.CBS_1000.26100.48.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy","shell:AppsFolder\MicrosoftWindows.Client.CBS_cw5n1h2txyewy"
"MicrosoftWindows.Client.Core","MicrosoftWindows.Client.Core_1000.26100.35.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy","shell:AppsFolder\MicrosoftWindows.Client.Core_cw5n1h2txyewy"
